TaxonId;Vetenskapligt namn;Svenskt namn;Svensk förekomst;Typ;Organismgrupp;Kategori;Rödlistekriterium;Skog (S);Jordbrukslandskap (J);Urban miljö (U);Fjäll (F);Våtmark (V);Sötvatten (L);Havsstrand (H);Marin miljö (M);Brackvatten (B)
2001;Entoloma carneogriseum;isabellnopping;Bofast och reproducerande;Art;Storsvampar;Kunskapsbrist (DD);;;Viktig;;;;;;;
3946;Entoloma catalaunicum;rosabrun nopping;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);"B2b(iii); C2a(i)";Viktig;Förekommer;;;;;;;
3952;Entoloma chloropolium;;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);B2b(iii);Förekommer;Viktig;;;;;;;
592;Entoloma corvinum;korpnopping;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);A2c+3c+4c;;Viktig;;Förekommer;;;;;
594;Entoloma dichroum;pricknopping;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);C2a(i);Förekommer;Viktig;;;;;;;
597;Entoloma griseocyaneum;stornopping;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);A2c+3c+4c;;Viktig;;Förekommer;;;;;
598;Entoloma griseorubidum;dysternopping;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);A2c+3c+4c;Förekommer;Viktig;;;;;;;
3984;Entoloma jubatum;sepiarödling;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);A2c+3c+4c;Förekommer;Viktig;;;;;;;
601;Entoloma kervernii;ockranopping;Bofast och reproducerande;Art;Storsvampar;Starkt hotad (EN);"A2c+3c+4c; B2ab(iii)";;Viktig;;;;;;;
602;Entoloma lividocyanulum;ögonnopping;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);A2c+3c+4c;Förekommer;Viktig;;;;;;;
4010;Entoloma placidum;boknopping;Bofast och reproducerande;Art;Storsvampar;Kunskapsbrist (DD);;Viktig;;;;;;;;
605;Entoloma porphyrophaeum;porfyrrödling;Bofast och reproducerande;Art;Storsvampar;Sårbar (VU);A2c+3c+4c;;Viktig;;Förekommer;;;;;
4016;Entoloma pratulense;slåtterrödhätting;Bofast och reproducerande;Art;Storsvampar;Kunskapsbrist (DD);;;Viktig;;;;;;;
606;Entoloma prunuloides;mjölrödskivling;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);A2c+3c+4c;;Viktig;;;;;;;
607;Entoloma queletii;lundnopping;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);D1;Viktig;;;;;;;;
609;Entoloma roseum;rosennopping;Bofast och reproducerande;Art;Storsvampar;Starkt hotad (EN);"B2ab(iii); C2a(i)";Förekommer;Viktig;;;;;;;
2002;Entoloma scabiosum;striprödling;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);D1;Viktig;;;;;;;;
